planet_name,planet_status,mass,mass_error_min,mass_error_max,planet_radius,radius_error_min,radius_error_max,planet_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,discovery_year,updated,publication,discovery_method,alternate_names,star_name,ra,dec,mag_j,mag_h,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_alternate_names
CT Cha b,Confirmed,17.0,6.0,6.0,2.2,0.6,0.6,11.456085,0.000107,0.000107,440.0,2008,2008-09-23,Published in a refereed paper,Imaging,unkown,CT Cha,166.0375,-76.4552778,12.782,12.386,165.0,30.0,30.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CW 0224+1526 A,Confirmed,50.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2024,2024-06-23,Published in a refereed paper,Imaging,CWISE J022454.80+152629.5,unkown,36.22541666666667,15.442722222222224,12.782,12.386,36.0,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CW 0224+1526 B,Confirmed,50.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2024,2024-06-23,Published in a refereed paper,Imaging,CWISE J022454.10+152633.8,unkown,36.22541666666667,15.442722222222224,12.782,12.386,36.0,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CWISE J0146-0508 b,Confirmed,66.0,10.0,10.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,129.0,2022,2024-10-21,Published in a refereed paper,Imaging,CWISE J014611.20-050850.0 b,CWISE J0146-0508,26.5467046,-5.1472375,12.782,12.386,41.0,5.0,5.0,0.01,0.1,0.1,0.072,0.006,0.006,0.95,0.055,0.055,1720.0,150.0,150.0,CWISE J014611.20-050850.0
CWISE J0412+0850,Confirmed,31.0,4.0,4.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2024,2024-08-20,Submitted to a professional journal,Imaging,CWISE J041259.89+085049.6,unkown,63.249541666666666,8.847111111111111,12.782,12.386,31.0,8.0,8.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CWISE J0422+2139,Confirmed,52.0,7.0,7.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2024,2024-08-20,Submitted to a professional journal,Imaging,CWISE J042222.17+213900.5,unkown,65.592375,21.65013888888889,12.782,12.386,54.0,7.0,7.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CWISE J0423+1304,Confirmed,28.0,4.0,4.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2024,2024-08-20,Submitted to a professional journal,Imaging,CWISE J042356.23+130414.3,unkown,65.98429166666666,13.070638888888888,12.782,12.386,38.0,3.0,3.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CWISE J0435+2138,Confirmed,46.0,12.0,12.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2024,2024-08-20,Submitted to a professional journal,Imaging,CWISE J043511.26+213846.3,unkown,68.79691666666666,21.646194444444443,12.782,12.386,51.0,6.0,6.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CWISE J0441+1436,Confirmed,32.0,4.0,4.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2024,2024-08-20,Submitted to a professional journal,Imaging,CWISE J044116.07+143645.4,unkown,70.31695833333333,14.61261111111111,12.782,12.386,42.0,6.0,6.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CWISE J0443+1257,Confirmed,39.0,8.0,8.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2024,2024-08-20,Submitted to a professional journal,Imaging,CWISE J044354.22+125736.7,unkown,70.97591666666666,12.960194444444443,12.782,12.386,49.0,5.0,5.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CWISE J0458+1004,Confirmed,32.0,4.0,4.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2024,2024-08-20,Submitted to a professional journal,Imaging,CWISE J045800.69+100456.9,unkown,74.502875,10.082472222222222,12.782,12.386,41.0,7.0,7.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CWISE J0506+0738,Confirmed,7.0,2.0,2.0,1.32,0.03,0.03,11.456085,0.000107,0.000107,0.12,2023,2024-07-27,Published in a refereed paper,Imaging,CWISE J050626.96+073842.4,unkown,76.61225000898,7.6454444668,12.782,12.386,32.0,3.0,3.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CWISE J0512+1658,Confirmed,39.0,8.0,8.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2024,2024-08-20,Submitted to a professional journal,Imaging,CWISE J051215.86+165818.0,unkown,78.06608333333334,16.971666666666668,12.782,12.386,44.0,3.0,3.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CWISE J0541-7450 b,Confirmed,16.0,7.1,7.1,0.232,0.021,0.021,11.456085,0.000107,0.000107,6576.0,2024,2024-07-08,Published in a refereed paper,Imaging,CWISE J054129.32-745021.5 b,CWISE J0541-7450,85.37189875186166,-74.83982549777362,12.782,12.386,57.0,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,CWISE J054129.32-745021.5
CWISE J0619+3446 b,Confirmed,60.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,420.0,2024,2024-07-29,Published in a refereed paper,Imaging,CWISE J061959.56+344631.3 b,CWISE J0619+3446,94.99816666666666,34.77536111111111,11.32,10.77,36.65,3.73,3.73,-0.12,0.0,0.0,0.26,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,CWISE J061959.56+344631.3
CWISE J062911.12+395632.8 b,Confirmed,50.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,2200.0,2024,2024-06-30,Published in a refereed paper,Imaging,CWISE J062909.21+395701.6,CWISE J062911.12+395632.8,97.29633333333334,39.94244444444445,11.03,10.43,317.83,3.73,3.73,0.01,0.1,0.1,0.34,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CWISE J1015-1115 (AB)b,Confirmed,60.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,5800.0,2024,2024-07-29,Published in a refereed paper,Imaging,"CWISE J101523.92-111539.6, CWISE J101533.05-111501.0 (AB)b",CWISE J1015-1115,153.88770833333334,-11.25027777777778,12.782,12.386,41.75,3.73,3.73,-0.7,0.1,0.1,0.32,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,CWISE J101533.05-111501.0
CWISE J105512.11+544328.3,Confirmed,5.0,1.0,1.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2021,2023-11-27,Published in a refereed paper,Imaging,W1055 +5443,unkown,163.80050000404,54.7245277984,12.782,12.386,7.0,1.0,1.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
CWISE J1332-3749 b,Confirmed,60.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,5500.0,2024,2024-07-29,Published in a refereed paper,Imaging,"CWISE J133211.93-374837.9, CWISE J133211.59-374953.3 b",CWISE J1332-3749,203.04829166666667,-37.831472222222224,14.23,13.63,73.2,3.73,3.73,0.01,0.1,0.1,0.12,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,CWISE J133211.59-374953.3
CWISE J1439+2559 b,Confirmed,30.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,680.0,2024,2024-07-29,Published in a refereed paper,Imaging,"CWISE J143951.51+260000.3, CWISE J143951.66+255944.8 b",CWISE J1439+2559,219.96525,25.99577777777778,12.17,11.56,58.6,3.73,3.73,0.01,0.1,0.1,0.15,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,CWISE J143951.66+255944.8
CWISE J1440+3804 b,Confirmed,60.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,1200.0,2024,2024-07-29,Published in a refereed paper,Imaging,"CWISE J144057.87+380432.8, CWISE J144058.48+380422.1 b",CWISE J1440+3804,220.24366666666668,38.072805555555554,14.13,13.5,89.3,3.73,3.73,0.01,0.1,0.1,0.12,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,CWISE J144058.48+380422.1
CWISE J1519-4858,Confirmed,60.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2024,2024-07-17,Published in a refereed paper,Imaging,CWISE J151940.47-485810.2,unkown,229.918625,-48.9695,12.782,12.386,317.83,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
