#This file was produced by Open Exoplanet Catalogue https://github.com/OpenExoplanetCatalogue/open_exoplanet_catalogue/blob/master/

# COLUMN system_name: Name of the planetary system.  
# COLUMN star_name: Host star's name.  
# COLUMN star_mass: Star's mass in Solar masses (M☉).  
# COLUMN star_radius: Star's radius in Solar radii (R☉).  
# COLUMN star_temperature: Star's temperature in Kelvin (K).  
# COLUMN star_metallicity: Star's metallicity [Fe/H] in dex.  
# COLUMN star_spectral_type: Star's spectral classification.  
# COLUMN planet_name: Exoplanet's name.  
# COLUMN planet_mass: Exoplanet's mass in M♃ or M⊕.  
# COLUMN planet_radius: Exoplanet's radius in R♃ or R⊕.  
# COLUMN planet_temperature: Exoplanet's temperature in Kelvin (K).  
# COLUMN planet_period: Orbital period in days.  
# COLUMN planet_semimajoraxis: Semi-major axis in AU.  
# COLUMN planet_eccentricity: Orbital eccentricity.  
# COLUMN planet_inclination: Orbital inclination in degrees.  
# COLUMN discovery_method: Method used to detect the exoplanet.  
# COLUMN is_transiting: 1 if transiting, 0 if not.  
# COLUMN discovery_year: Year of discovery.  

system_name,star_name,star_mass,star_radius,star_temperature,star_metallicity,star_spectral_type,planet_name,planet_mass,planet_radius,planet_temperature,planet_period,planet_semimajoraxis,planet_eccentricity,planet_inclination,discovery_method,is_transiting,discovery_year
Kepler-772,Kepler-772,0.98,1.11,5714.0,0.03,,Kepler-772 b,,0.162,,12.992073370,,,,transit,1,2016
Kepler-773,Kepler-773,1.04,1.01,5850.0,0.05,,Kepler-773 b,,0.128,,3.749100060,,,,transit,1,2016
Kepler-774,Kepler-774,1.57,2.42,6403.0,0.04,,Kepler-774 b,,0.283,,11.089572300,,,,transit,1,2016
Kepler-775,Kepler-775,0.92,0.84,5468.0,-0.04,,Kepler-775 b,,0.106,,0.974868930,,,,transit,1,2016
Kepler-776,Kepler-776,0.83,0.78,5071.0,0.05,,Kepler-776 b,,0.114,,4.897187840,,,,transit,1,2016
Kepler-777,Kepler-777,0.58,0.56,4043.0,-0.17,,Kepler-777 b,,0.131,,5.728125990,,,,transit,1,2016
Kepler-778,Kepler-778,0.81,0.77,5102.0,-0.09,,Kepler-778 b,,0.150,,3.755744260,,,,transit,1,2016
Kepler-779,Kepler-779,0.46,0.44,3804.0,-0.43,,Kepler-779 b,,0.082,,7.097142230,,,,transit,1,2016
Kepler-780,Kepler-780,1.01,1.02,5769.0,0.05,,Kepler-780 b,,0.079,,0.677375160,,,,transit,1,2016
Kepler-781,Kepler-781,0.81,0.78,5162.0,-0.10,,Kepler-781 b,,0.258,,13.214073200,,,,transit,1,2016
Kepler-782,Kepler-782,0.98,1.01,5867.0,-0.14,,Kepler-782 b,,0.286,,158.685330800,,,,transit,1,2016
Kepler-783,Kepler-783,0.93,0.89,5521.00,0.010,,Kepler-783 b,,0.070,,4.29264638,,,,transit,1,2016
Kepler-783,Kepler-783,0.93,0.89,5521.00,0.010,,Kepler-783 c,,0.208,,7.05395000,,,,transit,1,2020
Kepler-784,Kepler-784,1.00,1.32,5674.0,0.07,,Kepler-784 b,,0.141,,31.592264600,,,,transit,1,2016
Kepler-785,Kepler-785,0.77,0.71,4739.0,-0.02,,Kepler-785 b,,1.162,,1.973760930,,,,transit,1,2016
Kepler-786,Kepler-786,0.81,0.74,4838.0,0.09,,Kepler-786 b,,0.217,,53.529348700,,,,transit,1,2016
Kepler-787,Kepler-787,0.65,0.62,4248.0,-0.09,,Kepler-787 b,,0.114,,0.928310500,,,,transit,1,2016
Kepler-788,Kepler-788,1.16,1.23,6159.0,0.05,,Kepler-788 b,,0.227,,8.398462690,,,,transit,1,2016
Kepler-789,Kepler-789,1.01,1.02,5870.0,-0.06,,Kepler-789 b,,0.189,,8.638477250,,,,transit,1,2016
Kepler-79,Kepler-79,1.1800,1.403,6189,,,Kepler-79 d,,0.69168,,52.090590,,,,transit,1,2014
Kepler-79,Kepler-79,1.1800,1.403,6189,,,Kepler-79 c,,0.35450,,27.401994,,,,transit,1,2014
Kepler-79,Kepler-79,1.1800,1.403,6189,,,Kepler-79 b,,0.33171,,13.484686,,,,transit,1,2014
Kepler-79,Kepler-79,1.1800,1.403,6189,,,Kepler-79 e,,0.30620,,81.065298,,,,transit,1,2014
Kepler-790,Kepler-790,0.84,0.80,5208.0,-0.05,,Kepler-790 b,,0.194,,13.734698070,,,,transit,1,2016
Kepler-791,Kepler-791,1.30,1.47,6383.0,0.06,,Kepler-791 b,,0.272,,14.553975900,,,,transit,1,2016
Kepler-792,Kepler-792,1.09,1.12,5971.0,0.08,,Kepler-792 b,,0.175,,11.301192170,,,,transit,1,2016
Kepler-793,Kepler-793,0.98,0.97,5745.0,0.00,,Kepler-793 b,,0.122,,4.241536390,,,,transit,1,2016
Kepler-794,Kepler-794,1.19,1.38,5839.0,0.34,,Kepler-794 b,,0.188,,11.131251320,,,,transit,1,2016
Kepler-795,Kepler-795,0.94,0.96,5631.0,-0.02,,Kepler-795 b,,0.150,,29.619342100,,,,transit,1,2016
Kepler-796,Kepler-796,0.93,1.09,5475.0,0.09,,Kepler-796 b,,0.116,,6.400876180,,,,transit,1,2016
Kepler-797,Kepler-797,0.96,0.95,5680.0,-0.02,,Kepler-797 b,,0.194,,27.072377110,,,,transit,1,2016
Kepler-798,Kepler-798,1.19,1.29,6224.0,0.03,,Kepler-798 b,,0.213,,13.719333690,,,,transit,1,2016
Kepler-799,Kepler-799,0.95,0.93,5681.00,-0.070,,Kepler-799 b,0.11900,0.614,4.33000000000e+02,133.46052350,0.516700,0.000000,89.840,transit,1,2016
Kepler-799,Kepler-799,0.95,0.93,5681.00,-0.070,,Kepler-799 c,0.02560,0.248,8.93000000000e+02,15.19419956,0.121400,0.000000,87.060,transit,1,2021
Kepler-8,Kepler-8,1.13,1.45,6251,0.05,F,Kepler-8 b,0.59,1.42,1519.5,3.52254,0.0483,0.0,84.07,transit,1,2010
Kepler-80,Kepler-80,0.730,0.678,4540,0.04,K5,Kepler-80 b,0.02180,0.2372,,7.05246,0.0648,,89.34,transit,1,2014
Kepler-80,Kepler-80,0.730,0.678,4540,0.04,K5,Kepler-80 c,0.02121,0.2444,,9.52355,0.0792,,89.33,transit,1,2014
Kepler-80,Kepler-80,0.730,0.678,4540,0.04,K5,Kepler-80 d,0.02124,0.1365,,3.07222,0.0372,,88.35,transit,1,2014
Kepler-80,Kepler-80,0.730,0.678,4540,0.04,K5,Kepler-80 e,0.01299,0.14945,,4.64489,0.0491,,88.79,transit,1,2014
Kepler-80,Kepler-80,0.730,0.678,4540,0.04,K5,Kepler-80 f,,0.1079,,0.9867873,0.0175,,86.50,transit,1,2016
Kepler-80,Kepler-80,0.730,0.678,4540,0.04,K5,Kepler-80 g,,0.1008,,14.64558,,,89.35,transit,1,2017
Kepler-800,Kepler-800,0.85,0.82,5315.0,-0.09,,Kepler-800 b,,0.254,,14.131760260,,,,transit,1,2016
Kepler-801,Kepler-801,0.67,0.63,4435.0,-0.17,,Kepler-801 b,,0.178,,11.419282530,,,,transit,1,2016
Kepler-802,Kepler-802,0.93,0.90,5507.0,0.06,,Kepler-802 b,,0.316,,40.058747300,,,,transit,1,2016
Kepler-803,Kepler-803,1.05,1.12,5919.0,0.02,,Kepler-803 b,,0.338,,50.286381920,,,,transit,1,2016
Kepler-804,Kepler-804,1.01,1.05,5817.0,0.00,,Kepler-804 b,,0.173,,14.374573510,,,,transit,1,2016
Kepler-804,Kepler-804,1.01,1.05,5817.0,0.00,,Kepler-804 c,,0.102,,9.651850170,,,,transit,1,2016
Kepler-805,Kepler-805,1.19,1.65,6112.0,-0.06,,Kepler-805 b,,0.258,,30.863893100,,,,transit,1,2016
Kepler-806,Kepler-806,0.99,1.16,5770.0,0.00,,Kepler-806 b,,0.102,,8.092196420,,,,transit,1,2016
Kepler-807,Kepler-807,1.04,1.06,5965.0,-0.04,,Kepler-807 b,,0.930,,117.931087810,,,,transit,1,2016
Kepler-808,Kepler-808,0.76,0.71,4653.0,0.05,,Kepler-808 b,,0.130,,0.631332350,,,,transit,1,2016
Kepler-809,Kepler-809,0.99,0.98,5734.0,0.04,,Kepler-809 b,,0.269,,55.639340000,,,,transit,1,2016
Kepler-81,Kepler-81,0.6480,0.595,4500,,,Kepler-81 b,,0.22874,,5.954880,,,,transit,1,2014
Kepler-81,Kepler-81,0.6480,0.595,4500,,,Kepler-81 c,,0.18317,,12.039956,,,,transit,1,2014
Kepler-81,Kepler-81,0.6480,0.595,4500,,,Kepler-81 d,,0.11027,,20.837846,,,,transit,1,2014
Kepler-810,Kepler-810,1.03,1.04,5803.0,0.10,,Kepler-810 b,,0.172,,4.597253850,,,,transit,1,2016
Kepler-811,Kepler-811,1.01,1.24,5747.0,0.05,,Kepler-811 b,,0.241,,23.584476970,,,,transit,1,2016
Kepler-812,Kepler-812,1.45,1.71,6761.0,0.02,,Kepler-812 b,,0.317,,10.117165310,,,,transit,1,2016
Kepler-813,Kepler-813,0.95,0.93,5743.0,-0.13,,Kepler-813 b,,0.191,,19.129473370,,,,transit,1,2016
Kepler-814,Kepler-814,1.15,1.22,6162.0,0.01,,Kepler-814 b,,0.189,,6.146985100,,,,transit,1,2016
Kepler-815,Kepler-815,1.25,3.42,5028.0,-0.03,,Kepler-815 b,,0.367,,8.575035520,,,,transit,1,2016
Kepler-816,Kepler-816,0.90,0.85,5286.0,0.16,,Kepler-816 b,,0.914,,10.506825650,,,,transit,1,2016
Kepler-817,Kepler-817,1.03,1.03,5861.0,0.02,,Kepler-817 b,,0.806,,3.990106230,,,,transit,1,2016
Kepler-818,Kepler-818,0.94,0.92,5638.0,-0.08,,Kepler-818 b,,0.456,,10.035385810,,,,transit,1,2016
Kepler-819,Kepler-819,0.86,0.81,5279.0,-0.06,,Kepler-819 b,,0.246,,33.199564800,,,,transit,1,2016
Kepler-82,Kepler-82,0.91,0.90,,,,Kepler-82 b,0.03823,0.363,,26.44000000,0.168300,0.003300,89.052,transit,1,2012
Kepler-82,Kepler-82,0.91,0.90,,,,Kepler-82 c,0.04373,0.476,,51.54000000,0.262600,0.007000,90.150,transit,1,2012
Kepler-82,Kepler-82,0.91,0.90,,,,Kepler-82 d,,0.158,,2.38296100,0.034000,,,transit,1,2014
Kepler-82,Kepler-82,0.91,0.90,,,,Kepler-82 e,,0.220,,5.90220600,0.063000,,,transit,1,2014
Kepler-82,Kepler-82,0.91,0.90,,,,Kepler-82 f,0.06576,,,75.73200000,0.339500,0.001400,86.300,timing,0,2019
Kepler-820,Kepler-820,1.23,1.36,6260.0,0.09,,Kepler-820 b,,0.543,,127.833809800,,,,transit,1,2016
Kepler-821,Kepler-821,0.84,0.80,5191.0,-0.03,,Kepler-821 b,,0.117,,1.922798730,,,,transit,1,2016
Kepler-822,Kepler-822,1.06,1.08,5928.0,0.04,,Kepler-822 b,,0.158,,3.222969270,,,,transit,1,2016
Kepler-823,Kepler-823,0.98,0.96,5643.0,0.06,,Kepler-823 b,,0.140,,4.168090820,,,,transit,1,2016
Kepler-824,Kepler-824,1.15,1.22,6035.0,0.14,,Kepler-824 b,,0.167,,4.514366330,,,,transit,1,2016
Kepler-825,Kepler-825,1.03,1.08,5976.0,-0.08,,Kepler-825 b,,0.136,,3.773600590,,,,transit,1,2016
Kepler-825,Kepler-825,1.03,1.08,5976.0,-0.08,,Kepler-825 c,,0.164,,8.181824600,,,,transit,1,2016
Kepler-826,Kepler-826,1.05,1.15,6079.0,-0.12,,Kepler-826 b,,0.112,,4.487589070,,,,transit,1,2016
Kepler-827,Kepler-827,0.93,0.91,5602.0,-0.06,,Kepler-827 b,,0.502,,51.929275910,,,,transit,1,2016
Kepler-828,Kepler-828,0.81,0.77,5039.0,-0.02,,Kepler-828 b,,0.135,,0.567857140,,,,transit,1,2016
Kepler-829,Kepler-829,0.98,0.97,5698.0,0.03,,Kepler-829 b,,0.188,,6.883375620,,,,transit,1,2016
Kepler-83,Kepler-83,0.6640,0.594,4648,,,Kepler-83 b,,0.23056,,9.770469,,,,transit,1,2014
Kepler-83,Kepler-83,0.6640,0.594,4648,,,Kepler-83 d,,0.17679,,5.169796,,,,transit,1,2014
Kepler-83,Kepler-83,0.6640,0.594,4648,,,Kepler-83 c,,0.20960,,20.090227,,,,transit,1,2014
Kepler-830,Kepler-830,1.07,1.11,6037.0,-0.02,,Kepler-830 b,,0.152,,11.296951370,,,,transit,1,2016
Kepler-831,Kepler-831,0.99,0.97,5732.0,0.02,,Kepler-831 b,,0.113,,5.621539410,,,,transit,1,2016
Kepler-832,Kepler-832,0.92,0.90,5596.0,-0.08,,Kepler-832 b,,0.184,,7.139694100,,,,transit,1,2016
Kepler-833,Kepler-833,0.64,0.62,4339.0,-0.18,,Kepler-833 b,,0.180,,18.754699800,,,,transit,1,2016
Kepler-834,Kepler-834,0.70,0.66,4554.0,-0.13,,Kepler-834 b,,0.180,,13.323883010,,,,transit,1,2016
Kepler-835,Kepler-835,1.08,1.11,5954.0,0.08,,Kepler-835 b,,0.249,,11.419093750,,,,transit,1,2016
Kepler-836,Kepler-836,1.03,1.04,5895.0,-0.01,,Kepler-836 b,,0.244,,11.361123270,,,,transit,1,2016
Kepler-837,Kepler-837,0.85,0.81,5403.0,-0.18,,Kepler-837 b,,0.228,,16.560595040,,,,transit,1,2016
Kepler-838,Kepler-838,0.98,0.96,5770.0,-0.06,,Kepler-838 b,,0.244,,15.749579940,,,,transit,1,2016
Kepler-839,Kepler-839,1.22,1.31,6058.0,0.29,,Kepler-839 b,,0.229,,37.814451400,,,,transit,1,2016
Kepler-84,Kepler-84,1.0200,1.169,6031,,,Kepler-84 b,,0.22509,,8.725818,,,,transit,1,2014
Kepler-84,Kepler-84,1.0200,1.169,6031,,,Kepler-84 c,,0.25152,,12.882779,,,,transit,1,2014
Kepler-84,Kepler-84,1.0200,1.169,6031,,,Kepler-84 e,,0.23694,,27.434389,,,,transit,1,2014
Kepler-84,Kepler-84,1.0200,1.169,6031,,,Kepler-84 d,,0.12576,,4.224537,,,,transit,1,2014
Kepler-84,Kepler-84,1.0200,1.169,6031,,,Kepler-84 f,,0.20049,,44.552169,,,,transit,1,2014
Kepler-840,Kepler-840,1.04,1.06,5920.0,0.00,,Kepler-840 b,,1.523,,2.495779620,,,,transit,1,2016
Kepler-841,Kepler-841,0.85,0.81,5324.0,-0.09,,Kepler-841 b,,0.467,,124.419839800,,,,transit,1,2016
Kepler-842,Kepler-842,0.78,0.73,4848.0,-0.02,,Kepler-842 b,,0.143,,1.219568270,,,,transit,1,2016
Kepler-843,Kepler-843,1.02,1.03,5830.0,0.05,,Kepler-843 b,,0.231,,2.053879820,,,,transit,1,2016
Kepler-844,Kepler-844,0.59,0.57,4128.0,-0.24,,Kepler-844 b,,0.150,,2.613020860,,,,transit,1,2016
Kepler-845,Kepler-845,0.79,0.75,4913.0,0.01,,Kepler-845 b,,0.182,,0.927859820,,,,transit,1,2016
Kepler-846,Kepler-846,0.94,0.91,5579.0,0.00,,Kepler-846 b,,0.221,,19.807921850,,,,transit,1,2016
Kepler-847,Kepler-847,0.83,0.77,4940.0,0.15,,Kepler-847 b,,0.105,,2.343231900,,,,transit,1,2016
Kepler-848,Kepler-848,1.01,1.20,5695.0,0.15,,Kepler-848 b,,0.152,,6.911344160,,,,transit,1,2016
Kepler-849,Kepler-849,1.23,1.64,6059.0,0.12,,Kepler-849 b,,0.637,,394.624490400,,,,transit,1,2016
Kepler-85,Kepler-85,0.9410,0.893,5436,,,Kepler-85 b,,0.16768,,8.305738,,,,transit,1,2014
Kepler-85,Kepler-85,0.9410,0.893,5436,,,Kepler-85 c,,0.20778,,12.512598,,,,transit,1,2014
Kepler-85,Kepler-85,0.9410,0.893,5436,,,Kepler-85 d,,0.10936,,17.913230,,,,transit,1,2014
Kepler-85,Kepler-85,0.9410,0.893,5436,,,Kepler-85 e,,0.11574,,25.216751,,,,transit,1,2014
Kepler-850,Kepler-850,1.06,1.09,5932.0,0.03,,Kepler-850 b,,0.159,,7.193038780,,,,transit,1,2016
Kepler-851,Kepler-851,0.89,0.85,5455.0,-0.07,,Kepler-851 b,,0.150,,8.506996580,,,,transit,1,2016
Kepler-852,Kepler-852,1.19,1.16,6100.0,0.22,,Kepler-852 b,,0.227,,44.930980400,,,,transit,1,2016
Kepler-853,Kepler-853,1.30,1.55,6350.0,0.07,,Kepler-853 b,,0.151,,7.168924630,,,,transit,1,2016
Kepler-854,Kepler-854,1.17,1.27,6179.0,0.04,,Kepler-854 b,,1.492,,2.144632850,,,,transit,1,2016
Kepler-855,Kepler-855,1.03,1.03,5835.0,0.06,,Kepler-855 b,,0.745,,7.886631100,,,,transit,1,2016
Kepler-856,Kepler-856,0.96,0.93,5535.0,0.12,,Kepler-856 b,,0.830,,8.027680590,,,,transit,1,2016
Kepler-857,Kepler-857,0.99,0.99,5773.0,0.02,,Kepler-857 b,,0.607,,85.351294270,,,,transit,1,2016
Kepler-858,Kepler-858,0.96,0.91,5653.0,-0.04,,Kepler-858 b,,0.434,,76.136020280,,,,transit,1,2016
Kepler-859,Kepler-859,0.81,0.77,5020.0,-0.02,,Kepler-859 b,,0.276,,20.381775730,,,,transit,1,2016
Kepler-860,Kepler-860,1.04,1.06,5836.0,0.09,,Kepler-860 b,,0.289,,5.101379450,,,,transit,1,2016
Kepler-861,Kepler-861,0.82,0.78,5047.0,0.01,,Kepler-861 b,,0.203,,3.949631380,,,,transit,1,2016
Kepler-862,Kepler-862,0.88,0.84,5333.0,0.04,,Kepler-862 b,,0.197,,3.148664530,,,,transit,1,2016
Kepler-863,Kepler-863,0.96,0.95,5678.0,-0.03,,Kepler-863 b,,0.259,,15.594618740,,,,transit,1,2016
Kepler-864,Kepler-864,1.00,1.00,5754.0,0.04,,Kepler-864 b,,0.214,,5.833760920,,,,transit,1,2016
Kepler-865,Kepler-865,0.93,0.92,5570.0,-0.01,,Kepler-865 b,,0.222,,14.163992940,,,,transit,1,2016
Kepler-866,Kepler-866,0.75,0.71,4751.0,-0.07,,Kepler-866 b,,0.145,,2.617032540,,,,transit,1,2016
Kepler-867,Kepler-867,0.92,0.91,5541.0,-0.02,,Kepler-867 b,,0.414,,150.242127000,,,,transit,1,2016
Kepler-868,Kepler-868,0.93,0.89,5614.0,-0.08,,Kepler-868 b,,0.183,,5.032517910,,,,transit,1,2016
Kepler-869,Kepler-869,0.97,0.95,5664.0,0.02,,Kepler-869 b,,0.322,,40.428775500,,,,transit,1,2016
Kepler-87,Kepler-87,1.10,1.82,5600,-0.17,,Kepler-87 b,1.02,1.20,478.1,114.7309,0.471,0.036,,transit,1,2013
Kepler-87,Kepler-87,1.10,1.82,5600,-0.17,,Kepler-87 c,0.020132,0.559540,403.3,192.363,0.664,0.039,,transit,1,2013
Kepler-870,Kepler-870,1.01,1.02,5857.0,-0.01,,Kepler-870 b,,0.248,,21.358762100,,,,transit,1,2016
Kepler-871,Kepler-871,1.11,1.14,5993.0,0.09,,Kepler-871 b,,0.334,,22.045901800,,,,transit,1,2016
Kepler-872,Kepler-872,1.05,1.08,5902.0,0.04,,Kepler-872 b,,0.178,,2.578855070,,,,transit,1,2016
Kepler-873,Kepler-873,1.18,1.27,6163.0,0.07,,Kepler-873 b,,0.335,,20.553384400,,,,transit,1,2016
Kepler-874,Kepler-874,1.09,1.13,6020.0,0.03,,Kepler-874 b,,0.352,,40.068672700,,,,transit,1,2016
Kepler-875,Kepler-875,1.06,1.11,5958.0,0.03,,Kepler-875 b,,0.259,,27.507379900,,,,transit,1,2016
Kepler-876,Kepler-876,0.81,0.77,5060.0,-0.03,,Kepler-876 b,,0.128,,5.144380110,,,,transit,1,2016
Kepler-877,Kepler-877,0.85,0.81,5261.0,-0.06,,Kepler-877 b,,0.189,,18.458470970,,,,transit,1,2016
Kepler-878,Kepler-878,0.81,0.77,5044.0,-0.03,,Kepler-878 b,,0.172,,25.942203300,,,,transit,1,2016
Kepler-879,Kepler-879,1.02,1.02,5792.0,0.05,,Kepler-879 b,,0.229,,33.385593800,,,,transit,1,2016
Kepler-880,Kepler-880,1.46,1.74,6761.0,0.03,,Kepler-880 b,,0.237,,7.714689750,,,,transit,1,2016
Kepler-881,Kepler-881,1.06,1.09,5961.0,0.00,,Kepler-881 b,,0.159,,4.444480170,,,,transit,1,2016
Kepler-882,Kepler-882,0.90,0.87,5476.0,-0.03,,Kepler-882 b,,0.110,,3.989539670,,,,transit,1,2016
Kepler-883,Kepler-883,1.06,1.09,6116.0,-0.13,,Kepler-883 b,,0.159,,12.984955730,,,,transit,1,2016
Kepler-884,Kepler-884,1.00,0.94,5715.0,0.05,,Kepler-884 b,,0.110,,5.699195140,,,,transit,1,2016
Kepler-885,Kepler-885,1.21,1.35,6187.0,0.11,,Kepler-885 b,,0.223,,18.114729490,,,,transit,1,2016
Kepler-886,Kepler-886,1.10,1.16,6098.0,-0.01,,Kepler-886 b,,0.136,,6.241463670,,,,transit,1,2016
Kepler-887,Kepler-887,1.19,1.29,6194.0,0.08,,Kepler-887 b,,0.164,,20.422287980,,,,transit,1,2016
Kepler-887,Kepler-887,1.19,1.29,6194.0,0.08,,Kepler-887 c,,0.101,,7.638460230,,,,transit,1,2016
Kepler-888,Kepler-888,0.97,0.90,5875.0,-0.21,,Kepler-888 b,,0.157,,70.697906100,,,,transit,1,2016
Kepler-889,Kepler-889,1.14,1.25,5961.0,0.19,,Kepler-889 b,,0.097,,3.744439000,,,,transit,1,2016
Kepler-89,Kepler-89,1.28,1.52,6182,0.02,F,Kepler-89 b,0.0330298,0.1558328,1486,3.743208,0.05119,0.25,89.30,transit,1,2012
Kepler-89,Kepler-89,1.28,1.52,6182,0.02,F,Kepler-89 c,0.04907293,0.39368287,1012,10.423648,0.1013,0.43,88.36,transit,1,2012
Kepler-89,Kepler-89,1.28,1.52,6182,0.02,F,Kepler-89 d,0.33,1.00,806,22.3429890,0.1684,0.022,89.871,transit,1,2012
Kepler-89,Kepler-89,1.28,1.52,6182,0.02,F,Kepler-89 e,0.11009952,0.59781473,584,54.32031,0.3046,0.019,89.76,transit,1,2012
Kepler-890,Kepler-890,1.09,1.13,5954.0,0.09,,Kepler-890 b,,0.793,,52.758755770,,,,transit,1,2016
Kepler-891,Kepler-891,1.06,1.07,5887.0,0.09,,Kepler-891 b,,0.572,,53.449455930,,,,transit,1,2016
Kepler-892,Kepler-892,0.75,0.72,4747.0,-0.04,,Kepler-892 b,,0.251,,13.752107200,,,,transit,1,2016
Kepler-893,Kepler-893,1.00,0.99,5820.0,-0.03,,Kepler-893 b,,0.270,,6.338557610,,,,transit,1,2016
Kepler-894,Kepler-894,0.87,0.85,5603.0,-0.25,,Kepler-894 b,,0.248,,9.803224000,,,,transit,1,2016
Kepler-895,Kepler-895,0.65,0.61,4315.0,-0.16,,Kepler-895 b,,0.137,,2.806242330,,,,transit,1,2016
Kepler-896,Kepler-896,0.84,0.81,5262.0,-0.10,,Kepler-896 b,,0.226,,144.547396000,,,,transit,1,2016
Kepler-897,Kepler-897,1.03,1.04,5839.0,0.04,,Kepler-897 b,,0.213,,8.047264200,,,,transit,1,2016
Kepler-898,Kepler-898,0.65,0.62,4223.0,-0.06,,Kepler-898 b,,0.133,,5.870619100,,,,transit,1,2016
Kepler-899,Kepler-899,0.93,0.91,5595.0,-0.06,,Kepler-899 b,,0.239,,19.178912930,,,,transit,1,2016
Kepler-9,Kepler-9,1.07,1.02,5777,0.12,G2,Kepler-9 b,0.25,0.84,707.2,19.22418,0.143,0.0626,87.1,transit,1,2010
Kepler-9,Kepler-9,1.07,1.02,5777,0.12,G2,Kepler-9 c,0.17,0.82,557.9,39.03106,0.229,0.0684,87.2,transit,1,2010
Kepler-9,Kepler-9,1.07,1.02,5777,0.12,G2,Kepler-9 d,0.022,0.147,1601.5,1.592851,0.0271,,,transit,1,2010
Kepler-90,Kepler-90,1.20,1.2,6080,-0.12,,Kepler-90 h,,1.008,,331.60059,1.01,,89.6,transit,1,2013
Kepler-90,Kepler-90,1.20,1.2,6080,-0.12,,Kepler-90 g,,0.723,,210.60697,0.71,,89.8,transit,1,2013
Kepler-90,Kepler-90,1.20,1.2,6080,-0.12,,Kepler-90 f,,0.2569,,124.9144,0.48,,89.77,transit,1,2013
Kepler-90,Kepler-90,1.20,1.2,6080,-0.12,,Kepler-90 e,,0.2373,,91.93913,0.42,,89.79,transit,1,2013
Kepler-90,Kepler-90,1.20,1.2,6080,-0.12,,Kepler-90 d,,0.2560,,59.73667,0.32,,89.71,transit,1,2013
Kepler-90,Kepler-90,1.20,1.2,6080,-0.12,,Kepler-90 c,,0.1062,,8.719375,0.089,,89.68,transit,1,2013
Kepler-90,Kepler-90,1.20,1.2,6080,-0.12,,Kepler-90 b,,0.1169,,7.008151,0.074,,89.4,transit,1,2013
Kepler-90,Kepler-90,1.20,1.2,6080,-0.12,,Kepler-90 i,,0.1178,,14.44912,,,89.2,transit,1,2017
Kepler-900,Kepler-900,0.78,0.73,4836.0,-0.01,,Kepler-900 b,,0.186,,6.991308600,,,,transit,1,2016
Kepler-901,Kepler-901,0.59,0.57,4184.0,-0.30,,Kepler-901 b,,0.122,,3.517494390,,,,transit,1,2016
Kepler-902,Kepler-902,0.95,0.93,5647.0,0.00,,Kepler-902 b,,0.227,,40.109954700,,,,transit,1,2016
Kepler-903,Kepler-903,0.98,0.97,5682.0,0.05,,Kepler-903 b,,0.179,,10.350772100,,,,transit,1,2016
Kepler-903,Kepler-903,0.98,0.97,5682.0,0.05,,Kepler-903 c,,0.226,,62.922855700,,,,transit,1,2016
Kepler-904,Kepler-904,1.16,1.25,6160.0,0.05,,Kepler-904 b,,0.158,,3.021668630,,,,transit,1,2016
Kepler-905,Kepler-905,0.95,0.86,5461.0,0.09,,Kepler-905 b,,0.126,,5.082746520,,,,transit,1,2016
Kepler-906,Kepler-906,1.06,1.02,6035.0,-0.09,,Kepler-906 b,,0.188,,41.697997600,,,,transit,1,2016
Kepler-907,Kepler-907,1.08,1.38,6106.0,-0.15,,Kepler-907 b,,0.107,,15.866218210,,,,transit,1,2016
Kepler-908,Kepler-908,1.11,1.12,5973.0,0.15,,Kepler-908 b,,0.109,,1.340597470,,,,transit,1,2016
Kepler-909,Kepler-909,1.17,1.23,6154.0,0.08,,Kepler-909 b,,0.131,,13.932903180,,,,transit,1,2016
Kepler-91,Kepler-91,1.31,6.30,4550,0.11,,Kepler-91 b,0.66,1.40,,6.24668005,0.0726,0.0519,67.37,transit,1,2013
Kepler-91,Kepler-91,1.31,6.30,4550,0.11,,Kepler-91 b Trojan,0.025,0.26,,6.24668005,0.0726,,67.37,transit,1,2015
Kepler-910,Kepler-910,1.26,1.50,6230.0,0.12,,Kepler-910 b,,0.073,,2.364369010,,,,transit,1,2016
Kepler-911,Kepler-911,1.34,1.99,6112.0,0.03,,Kepler-911 b,,0.232,,20.310501000,,,,transit,1,2016
Kepler-912,Kepler-912,1.07,1.11,5998.0,0.02,,Kepler-912 b,,0.250,,2.534756270,,,,transit,1,2016
Kepler-913,Kepler-913,0.63,0.61,4687.0,-0.52,,Kepler-913 b,,0.184,,10.296725210,,,,transit,1,2016
Kepler-914,Kepler-914,1.10,1.15,5877.0,0.22,,Kepler-914 b,,0.123,,4.409665480,,,,transit,1,2016
Kepler-915,Kepler-915,1.21,1.38,6173.0,0.08,,Kepler-915 b,,0.134,,4.594896040,,,,transit,1,2016
Kepler-916,Kepler-916,0.85,0.81,5248.0,-0.05,,Kepler-916 b,,0.157,,32.296879800,,,,transit,1,2016
Kepler-917,Kepler-917,0.80,0.76,5418.0,-0.38,,Kepler-917 b,,0.170,,2.970414370,,,,transit,1,2016
Kepler-918,Kepler-918,1.11,1.14,6028.0,0.06,,Kepler-918 b,,0.155,,4.853869330,,,,transit,1,2016
