#This file was produced by Open Exoplanet Catalogue https://github.com/OpenExoplanetCatalogue/open_exoplanet_catalogue/blob/master/

# COLUMN system_name: Name of the planetary system.  
# COLUMN star_name: Host star's name.  
# COLUMN star_mass: Star's mass in Solar masses (M☉).  
# COLUMN star_radius: Star's radius in Solar radii (R☉).  
# COLUMN star_temperature: Star's temperature in Kelvin (K).  
# COLUMN star_metallicity: Star's metallicity [Fe/H] in dex.  
# COLUMN star_spectral_type: Star's spectral classification.  
# COLUMN planet_name: Exoplanet's name.  
# COLUMN planet_mass: Exoplanet's mass in M♃ or M⊕.  
# COLUMN planet_radius: Exoplanet's radius in R♃ or R⊕.  
# COLUMN planet_temperature: Exoplanet's temperature in Kelvin (K).  
# COLUMN planet_period: Orbital period in days.  
# COLUMN planet_semimajoraxis: Semi-major axis in AU.  
# COLUMN planet_eccentricity: Orbital eccentricity.  
# COLUMN planet_inclination: Orbital inclination in degrees.  
# COLUMN discovery_method: Method used to detect the exoplanet.  
# COLUMN is_transiting: 1 if transiting, 0 if not.  
# COLUMN discovery_year: Year of discovery.  

system_name,star_name,star_mass,star_radius,star_temperature,star_metallicity,star_spectral_type,planet_name,planet_mass,planet_radius,planet_temperature,planet_period,planet_semimajoraxis,planet_eccentricity,planet_inclination,discovery_method,is_transiting,discovery_year
CoRoT-27,CoRoT-27,1.05,1.08,5900,0.1,G2,CoRoT-27 b,10.39,1.007,1500,3.57532,0.0476,,86.7,transit,1,2014
CoRoT-28,CoRoT-28,1.01,1.78,5150,0.15,G8/9IV,CoRoT-28 b,0.484,0.955,,5.20851,0.0590,0.047,88.1,transit,1,2015
CoRoT-29,CoRoT-29,0.97,0.90,5260,0.20,K0V,CoRoT-29 b,0.85,0.97,,2.8505615,0.0357,,85.80,transit,1,2015
CoRoT-3,CoRoT-3,1.37,1.56,6740,-0.02,F3V,CoRoT-3 b,21.66,1.01,1554.7,4.25680,0.057,0.0,85.9,transit,1,2008
CoRoT-30,CoRoT-30,0.98,0.91,5650.00,0.020,G3V,CoRoT-30 b,2.90000,1.009,,9.06005000,0.084400,0.007000,90.000,transit,1,2020
CoRoT-31,CoRoT-31,1.25,2.15,5700.00,0.000,G2IV,CoRoT-31 b,0.84000,1.460,,4.62941000,0.058600,0.020000,83.200,transit,1,2020
CoRoT-35,CoRoT-35,1.01,1.65,6390.0,-0.5,F3V,CoRoT-35 b,1.1,1.68,1747.0,3.22748,0.0429,0.0,84.1,transit,1,2022
CoRoT-36,CoRoT-36,1.32,1.52,6730.0,-0.1,,CoRoT-36 b,0.68,1.41,1567.0,5.616531,0.066,0.0,85.83,transit,1,2022
CoRoT-4,CoRoT-4,1.1,1.15,6190.0,0.05,F8V,CoRoT-4 b,0.72,1.19,975.6,9.20205,0.09,0.0,90,transit,1,2008
CoRoT-5,CoRoT-5,1.00,1.186,6100.0,-0.25,F9V,CoRoT-5 b,0.467,1.388,1316.3,4.0378962,0.04947,0.09,85.83,transit,1,2008
CoRoT-6,CoRoT-6,1.05,1.025,6090.0,-0.2,F5V,CoRoT-6 b,2.96,1.166,929.2,8.886593,0.0855,,89.07,transit,1,2009
CoRoT-7,CoRoT-7,0.82,0.83,5275.00,0.050,G9V,CoRoT-7 b,0.01283,0.150,1.75600000000e+03,0.85359163,0.017016,0.000000,80.100,transit,1,2009
CoRoT-7,CoRoT-7,0.82,0.83,5275.00,0.050,G9V,CoRoT-7 c,0.02643,0.253,,3.69800000,0.046000,0.000000,80.000,RV,1,2009
CoRoT-7,CoRoT-7,0.82,0.83,5275.00,0.050,G9V,CoRoT-7 d,0.05393,0.384,,8.96600000,,,,RV,0,2022
CoRoT-8,CoRoT-8,0.88,0.77,5080.0,0.3,K1V,CoRoT-8 b,0.22,0.57,783.1,6.21229,0.063,0.0,88.4,transit,1,2010
CoRoT-9,CoRoT-9,0.99,0.94,5625.0,-0.01,G3V,CoRoT-9 b,0.84,1.05,376.6,95.2738,0.407,0.11,89.9,transit,1,2010
CoRoTID 223977153,CoRoTID 223977153,1.08,0.79,5970.00,0.000,G0VI,CoRoTID 223977153 b,0.15000,0.570,938,6.71837000,0.071000,,89.000,transit,1,2017
CT Cha,CT Cha,,,5150.0,,K7,CT Cha B,,2.4,2500,,,,,imaging,0,2008
DE CVn,DE CVn,0.51,,,,,DE CVn b,12.00000,,,4098.10000000,5.750000,0.000000,86.000,timing,0,2018
DH Tau,DH Tau,0.4,,3840.0,,M0.5V,DH Tau B,12,,2750,,,,,imaging,0,2005
DMPP-1,DMPP-1,1.21,1.26,6196.00,,F8V,DMPP-1 b,0.07636,,877,18.57000000,0.146200,0.083000,,RV,0,2019
DMPP-1,DMPP-1,1.21,1.26,6196.00,,F8V,DMPP-1 c,0.03020,,1239,6.58400000,0.073300,0.057000,,RV,0,2019
DMPP-1,DMPP-1,1.21,1.26,6196.00,,F8V,DMPP-1 d,0.01054,,1632,2.88200000,0.042200,0.070000,,RV,0,2019
DMPP-1,DMPP-1,1.21,1.26,6196.00,,F8V,DMPP-1 e,0.01299,,1314,5.51600000,0.065100,0.070000,,RV,0,2019
DMPP-2,DMPP-2,1.44,1.78,6500.00,,F5V,DMPP-2 b,0.43700,,1000,5.20720000,0.066400,0.078000,,RV,0,2019
DMPP-3 A,DMPP-3 A,0.87,0.91,5138.00,0.180,K0V,DMPP-3 A b,0.00812,,854,6.67320000,0.066200,0.140000,,RV,0,2019
DMPP-4,DMPP-4,1.25,1.38,6400.00,-0.007,F5-F8V,DMPP-4 b,0.03839,0.315,,3.49820000,0.048530,0.063000,,RV,1,2023
DS Tuc A,DS Tuc A,1.01,0.96,5428.00,0.000,G6V,DS Tuc A b,,0.509,850,8.13826800,,0.000000,89.500,transit,1,2019
EPIC 201170410,EPIC 201170410,0.29,0.28,3648.00,-0.048,,EPIC 201170410 b,,0.093,,6.79870000,0.034900,0.000000,89.002,transit,1,2020
EPIC 201238110,EPIC 201238110,0.41,,,,,EPIC 201238110 b,,0.167,,28.16560000,,,,transit,1,2019
EPIC 201295312,EPIC 201295312,1.13,1.52,5830,0.13,,EPIC 201295312 b,,0.2453,,5.65639,,0.12,,transit,1,2015
EPIC 201338508,EPIC 201338508,0.61,0.57,3930,-0.33,,EPIC 201338508 c,,0.202,,10.93241,0.0818,,86.95,transit,1,2015
EPIC 201338508,EPIC 201338508,0.61,0.57,3930,-0.33,,EPIC 201338508 b,,0.170,,5.73594,0.0532,,87.35,transit,1,2015
EPIC 201393098,EPIC 201393098,0.97,0.96,5772,-0.07,,EPIC 201393098 b,,0.246,651,28.67992,0.1814,,,transit,1,2015
EPIC 201427007,EPIC 201427007,0.93,0.94,5633.00,-0.053,,EPIC 201427007 b,0.00899,0.134,,0.72091000,,,88.500,transit,1,2021
EPIC 201445392,EPIC 201445392,0.78,0.74,4870,-0.02,,EPIC 201445392 b,,0.319,,10.35239,0.0856,,86.42,transit,1,2015
EPIC 201445392,EPIC 201445392,0.78,0.74,4870,-0.02,,EPIC 201445392 c,,0.215,,5.06416,0.0532,,86.70,transit,1,2015
EPIC 201465501,EPIC 201465501,0.30,0.31,3390,-0.25,M2.5V,EPIC 201465501 b,,0.2007,,18.4498,0.091,,87.983,transit,1,2015
EPIC 201497682,EPIC 201497682,0.78,,,,,EPIC 201497682 b,,0.062,,2.13174000,,,,transit,1,2019
EPIC 201505350,EPIC 201505350,0.93,0.86,5430,0.10,,EPIC 201505350 c,0.0500,0.434,,11.90715,0.0971,0.095,87.99,transit,1,2015
EPIC 201505350,EPIC 201505350,0.93,0.86,5430,0.10,,EPIC 201505350 b,0.138,0.691,,7.91940,0.0740,0.119,89.47,transit,1,2015
EPIC 201505350,EPIC 201505350,0.93,0.86,5430,0.10,,EPIC 201505350 d,,0.102,,2.50856,0.0344,,85.83,transit,1,2015
EPIC 201546283,EPIC 201546283,0.89,0.85,5320,0.14,,EPIC 201546283 b,0.09156,0.3970,,6.77145,,0.16,,transit,1,2015
EPIC 201565013,EPIC 201565013,0.51,0.5,3987,-0.44,,EPIC 201565013 b,,1.472,536,8.6381,0.0669,,,transit,1,2015
EPIC 201577035,EPIC 201577035,0.92,0.98,5620,-0.07,,EPIC 201577035 b,0.0850,0.3426,,19.3044,,0.31,,transit,1,2015
EPIC 201595106,EPIC 201595106,1.02,0.93,5820.00,-0.010,,EPIC 201595106 b,0.00705,0.116,1.87400000000e+03,0.87721400,,,89.200,transit,1,2021
EPIC 201596316,EPIC 201596316,1.35,5.15,5433,-0.12,,EPIC 201596316 b,,0.695,734,39.93767,0.2257,,,transit,1,2015
EPIC 201613023,EPIC 201613023,1.01,1.01,5800,0.03,,EPIC 201613023 b,,0.214,1003,8.28212,0.0802,,87.6,transit,1,2015
EPIC 201617985,EPIC 201617985,0.52,0.49,3742,-0.08,,EPIC 201617985 b,,0.164,518,7.28161,0.0586,,,transit,1,2015
EPIC 201635569,EPIC 201635569,0.47,0.45,3789,-0.37,,EPIC 201635569 b,,0.443,488,8.36802,0.0627,,,transit,1,2015
