system_name,star_name,star_mass,star_radius,star_temperature,star_metallicity,planet_name,planet_radius,planet_temperature,planet_period,semi_major_axis,discovery_method,is_transiting,discovery_year
DMPP-1,DMPP-1,1.21,1.26,6196.0,0.0,DMPP-1 e,0.203,1314.0,5.516,0.0651,RV,0,2019.0
DMPP-2,DMPP-2,1.44,1.78,6500.0,0.0,DMPP-2 b,0.203,1000.0,5.2072,0.0664,RV,0,2019.0
DMPP-3 A,DMPP-3 A,0.87,0.91,5138.0,0.18,DMPP-3 A b,0.203,854.0,6.6732,0.0662,RV,0,2019.0
DMPP-4,DMPP-4,1.25,1.38,6400.0,-0.007,DMPP-4 b,0.315,762.0,3.4982,0.04853,RV,1,2023.0
DS Tuc A,DS Tuc A,1.01,0.96,5428.0,0.0,DS Tuc A b,0.509,850.0,8.138268,0.104541,transit,1,2019.0
EPIC 201170410,EPIC 201170410,0.29,0.28,3648.0,-0.048,EPIC 201170410 b,0.093,762.0,6.7987,0.0349,transit,1,2020.0
EPIC 201238110,EPIC 201238110,0.41,0.945,5645.0,0.0,EPIC 201238110 b,0.167,762.0,28.1656,0.104541,transit,1,2019.0
EPIC 201295312,EPIC 201295312,1.13,1.52,5830.0,0.13,EPIC 201295312 b,0.2453,762.0,5.65639,0.104541,transit,1,2015.0
EPIC 201338508,EPIC 201338508,0.61,0.57,3930.0,-0.33,EPIC 201338508 c,0.202,762.0,10.93241,0.0818,transit,1,2015.0
EPIC 201338508,EPIC 201338508,0.61,0.57,3930.0,-0.33,EPIC 201338508 b,0.17,762.0,5.73594,0.0532,transit,1,2015.0
EPIC 201393098,EPIC 201393098,0.97,0.96,5772.0,-0.07,EPIC 201393098 b,0.246,651.0,28.67992,0.1814,transit,1,2015.0
EPIC 201427007,EPIC 201427007,0.93,0.94,5633.0,-0.053,EPIC 201427007 b,0.134,762.0,0.72091,0.104541,transit,1,2021.0
EPIC 201445392,EPIC 201445392,0.78,0.74,4870.0,-0.02,EPIC 201445392 b,0.319,762.0,10.35239,0.0856,transit,1,2015.0
EPIC 201445392,EPIC 201445392,0.78,0.74,4870.0,-0.02,EPIC 201445392 c,0.215,762.0,5.06416,0.0532,transit,1,2015.0
EPIC 201465501,EPIC 201465501,0.3,0.31,3390.0,-0.25,EPIC 201465501 b,0.2007,762.0,18.4498,0.091,transit,1,2015.0
EPIC 201497682,EPIC 201497682,0.78,0.945,5645.0,0.0,EPIC 201497682 b,0.062,762.0,2.13174,0.104541,transit,1,2019.0
